X,CH1,CH2,CH4,Start,Increment
Sequence,Volt,Volt,Volt,-0.0006,1E-06
795,0.016,7.52,0.2,,
796,0.016,7.52,0.2,,
797,0.016,7.52,0.2,,
798,0.016,7.52,0.2,,
799,0.016,7.52,0.2,,
800,0.016,7.44,0.2,,
801,0.016,7.44,0.2,,
802,0.016,7.52,0.2,,
803,0.016,7.52,0.2,,
804,0.016,7.44,0.2,,
805,0.016,7.44,0.2,,
806,0.008,7.44,0.2,,
807,0.008,7.44,0.2,,
808,0.008,7.44,0.2,,
809,0.008,7.44,0.2,,
810,0.016,7.44,0.2,,
811,0.016,7.44,0.2,,
812,0.024,7.44,0.2,,
813,0.024,7.44,0.2,,
814,0.024,7.52,0.2,,
815,0.024,7.52,0.2,,
816,0.016,7.44,0.2,,
817,0.016,7.44,0.2,,
818,0.016,7.52,0.2,,
819,0.016,7.52,0.2,,
820,0.016,7.44,0.2,,
821,0.016,7.44,0.2,,
822,0.008,7.52,0,,
823,0.008,7.52,0,,
824,0.016,7.52,0.2,,
825,0.016,7.52,0.2,,
826,0.016,7.44,0.2,,
827,0.016,7.44,0.2,,
828,0.016,7.52,0,,
829,0.016,7.52,0,,
830,0.016,7.52,0,,
831,0.016,7.52,0,,
832,0.008,7.52,0.2,,
833,0.008,7.52,0.2,,
834,0.016,7.52,0.2,,
835,0.016,7.52,0.2,,
836,0.016,7.52,0.2,,
837,0.016,7.52,0.2,,
838,0.016,7.44,0.2,,
839,0.016,7.44,0.2,,
840,0.024,7.44,0.2,,
841,0.024,7.44,0.2,,
842,0.016,7.44,0.2,,
843,0.016,7.44,0.2,,
844,0.024,7.44,0.2,,
845,0.024,7.44,0.2,,
846,0.016,7.44,0.2,,
847,0.016,7.44,0.2,,
848,0.016,7.44,0.2,,
849,0.016,7.44,0.2,,
850,0.016,7.44,0.2,,
851,0.016,7.44,0.2,,
852,0.016,7.44,0.2,,
853,0.016,7.44,0.2,,
854,0.016,7.52,0.2,,
855,0.016,7.52,0.2,,
856,0.016,7.52,0.2,,
857,0.016,7.52,0.2,,
858,0.016,7.44,0.2,,
859,0.016,7.44,0.2,,
860,0.016,7.52,0.2,,
861,0.016,7.52,0.2,,
862,0.016,7.44,0.2,,
863,0.016,7.44,0.2,,
864,0.008,7.44,0.2,,
865,0.008,7.44,0.2,,
866,0.024,7.44,0.2,,
867,0.024,7.44,0.2,,
868,0.016,7.44,0.2,,
869,0.016,7.44,0.2,,
870,0.016,7.52,0,,
871,0.016,7.52,0,,
872,0.016,7.52,0,,
873,0.016,7.52,0,,
874,0.016,7.44,0.2,,
875,0.016,7.44,0.2,,
876,0.016,7.52,0.2,,
877,0.016,7.52,0.2,,
878,0.016,7.44,0.2,,
