X,CH1,CH2,CH3,CH4,Start,Increment
Sequence,Volt,Volt,Volt,Volt,-3E-05,5E-08
577,-9.8,-0.122,0.124,0,,
578,-9.8,-0.122,0.124,0,,
579,-9.8,-0.122,0.124,0,,
580,-9.8,-0.122,0.124,0,,
581,-9.8,-0.122,0.124,0,,
582,-9.8,-0.122,0.124,0,,
583,-9.8,-0.122,0.124,0,,
584,-9.8,-0.124,0.124,0,,
585,-9.8,-0.124,0.124,0,,
586,-9.8,-0.122,0.124,0,,
587,-9.8,-0.122,0.124,0,,
588,-9.8,-0.122,0.124,0,,
589,-9.8,-0.122,0.124,0,,
590,-10,-0.122,0.124,0,,
591,-10,-0.122,0.124,0,,
592,-9.8,-0.124,0.124,0,,
593,-9.8,-0.124,0.124,0,,
594,-9.8,-0.122,0.124,0,,
595,-9.8,-0.122,0.124,0,,
596,-9.8,-0.122,0.124,0,,
597,-9.8,-0.122,0.124,0,,
598,-10,-0.002,-0.008,0,,
599,-10,-0.002,-0.008,0,,
600,-9.6,0.122,-0.126,0,,
601,-9.6,0.122,-0.126,0,,
602,-9,0.122,-0.122,-0.2,,
603,-9,0.122,-0.122,-0.2,,
604,-8.2,0.124,-0.122,-0.2,,
605,-8.2,0.124,-0.122,-0.2,,
606,-7.6,0.122,-0.12,-0.2,,
607,-7.6,0.122,-0.12,-0.2,,
608,-6.8,0.122,-0.12,-0.2,,
609,-6.8,0.122,-0.12,-0.2,,
610,-6,0.122,-0.12,-0.2,,
611,-6,0.122,-0.12,-0.2,,
612,-5.4,0.122,-0.12,-0.2,,
613,-5.4,0.122,-0.12,-0.2,,
614,-4.8,0.122,-0.12,0,,
615,-4.8,0.122,-0.12,0,,
616,-4,0.122,-0.12,0,,
617,-4,0.122,-0.12,0,,
618,-3.4,0.122,-0.12,0,,
619,-3.4,0.122,-0.12,0,,
620,-3,0.122,-0.12,0,,
621,-3,0.122,-0.12,0,,
622,-2.6,0.122,-0.12,0,,
623,-2.6,0.122,-0.12,0,,
624,-2,0.122,-0.12,-0.2,,
625,-2,0.122,-0.12,-0.2,,
626,-1.6,0.122,-0.12,-0.2,,
627,-1.6,0.122,-0.12,-0.2,,
628,-1,0.122,-0.12,0,,
629,-1,0.122,-0.12,0,,
630,-0.8,0.122,-0.12,0,,
631,-0.8,0.122,-0.12,0,,
632,-0.2,0.122,-0.12,0,,
633,-0.2,0.122,-0.12,0,,
634,0.2,0.122,-0.12,0,,
635,0.2,0.122,-0.12,0,,
636,0.6,0.122,-0.12,0,,
637,0.6,0.122,-0.12,0,,
638,1,0.122,-0.12,0,,
639,1,0.122,-0.12,0,,
640,1.4,0.122,-0.12,0,,
641,1.4,0.122,-0.12,0,,
642,1.8,0.122,-0.12,0,,
643,1.8,0.122,-0.12,0,,
644,2,0.122,-0.12,0,,
645,2,0.122,-0.12,0,,
646,2.4,0.122,-0.12,0,,
647,2.4,0.122,-0.12,0,,
648,2.6,0.122,-0.12,0,,
649,2.6,0.122,-0.12,0,,
650,3,0.122,-0.12,-0.2,,
651,3,0.122,-0.12,-0.2,,
652,3.4,0.122,-0.12,0,,
653,3.4,0.122,-0.12,0,,
654,3.8,0.122,-0.12,0,,
655,3.8,0.122,-0.12,0,,
656,4,0.122,-0.12,0,,
657,4,0.122,-0.12,0,,
658,4,0.122,-0.12,0,,
659,4,0.122,-0.12,0,,
660,4.2,0.122,-0.12,0,,
661,4.2,0.122,-0.12,0,,
662,4.6,0.122,-0.12,0,,
663,4.6,0.122,-0.12,0,,
664,5,0.122,-0.12,0,,
665,5,0.122,-0.12,0,,
666,5,0.122,-0.12,0,,
667,5,0.122,-0.12,0,,
668,5.2,0.124,-0.12,0,,
669,5.2,0.124,-0.12,0,,
670,5.4,0.122,-0.12,0,,
671,5.4,0.122,-0.12,0,,
672,5.6,0.124,-0.12,0,,
673,5.6,0.124,-0.12,0,,
674,5.8,0.122,-0.12,0,,
675,5.8,0.122,-0.12,0,,
676,6,0.122,-0.12,0,,
677,6,0.122,-0.12,0,,
678,6.2,0.122,-0.12,0,,
679,6.2,0.122,-0.12,0,,
680,6.4,0.122,-0.12,0,,
681,6.4,0.122,-0.12,0,,
682,6.4,0.122,-0.12,-0.2,,
683,6.4,0.122,-0.12,-0.2,,
684,6.6,0.122,-0.12,0,,
685,6.6,0.122,-0.12,0,,
686,6.8,0.124,-0.12,0,,
687,6.8,0.124,-0.12,0,,
688,6.8,0.122,-0.12,0,,
689,6.8,0.122,-0.12,0,,
690,7,0.124,-0.12,0,,
691,7,0.124,-0.12,0,,
692,7,0.124,-0.12,0,,
693,7,0.124,-0.12,0,,
694,7.4,0.122,-0.12,-0.2,,
